gene,corr_resid,corr_raw,sign_agreement,in_core,in_heldout,is_epithelial
ADIPOQ,-0.003079158,0.0032330435,-2.0,False,False,False
ADIPOR1,-0.0048263175,-0.030181328,-2.0,False,False,False
ADIPOR2,-0.01868988,-0.05533506,-2.0,False,False,False
ADIRF,0.026505638,-0.10439198,0.0,False,False,False
ADK,-0.014509613,-0.037824597,-4.0,False,False,False
ADM,0.040692534,0.04377979,4.0,False,False,False
ADM2,-0.002226239,-0.02680567,2.0,False,False,False
ADM5,-0.0035258483,-0.016032405,0.0,False,False,False
ADNP,-0.016318547,-0.042016927,0.0,False,False,False
ADNP2,-0.017575128,-0.02004872,0.0,False,False,False
ADO,-0.012959171,-0.01302986,-2.0,False,False,False
ADORA1,-0.0035376018,0.010359746,0.0,False,False,False
ADORA2A,-0.012721824,-0.019210696,-2.0,False,False,False
ADORA2B,0.009065306,-0.006189033,2.0,False,False,False
ADORA3,-0.01214918,-0.008332376,-2.0,False,False,False
ADPGK,0.00016134977,-0.02162377,0.0,False,False,False
ADPRH,9.324867e-06,0.0073509235,0.0,False,False,False
ADPRHL1,0.006297644,-0.0046574967,2.0,False,False,False
ADPRHL2,0.0031744216,-0.010290611,-2.0,False,False,False
ADPRM,-0.017542653,-0.027173389,-4.0,False,False,False
ADRA1A,0.0075417887,0.004478989,0.0,False,False,False
ADRA1B,0.0028102146,-0.008262156,2.0,False,False,False
ADRA1D,-0.0030478756,-0.004813445,-1.0,False,False,False
ADRA2A,0.006919727,0.05053974,0.0,False,False,False
ADRA2B,-0.016632184,-0.022199636,-2.0,False,False,False
ADRA2C,-0.0011815644,-0.01973478,-2.0,False,False,False
ADRB1,0.0031342558,-0.004026177,3.0,False,False,False
ADRB2,0.0008968538,-0.012183732,0.0,False,False,False
ADRB3,-0.0023973773,0.0009289144,-1.0,False,False,False
ADRM1,-0.0028168056,-0.019861132,0.0,False,False,False
ADSL,-0.01726698,-0.044121154,-2.0,False,False,False
ADSS,-0.010812183,-0.04021883,-2.0,False,False,False
ADSSL1,0.013831,-0.0009749881,2.0,False,False,False
ADTRP,-0.01863077,-0.030248433,-2.0,False,False,False
AEBP1,0.052829247,0.31891716,4.0,False,False,False
AEBP2,-0.0114210015,-0.050402112,-2.0,False,False,False
AEN,-0.012827497,-0.029208539,-2.0,False,False,False
AFAP1,-0.0041619907,0.005151946,0.0,False,False,False
AFAP1L1,0.006334478,-0.020803047,2.0,False,False,False
AFAP1L2,-0.0065102917,-0.021114051,0.0,False,False,False
AFDN,-0.01004307,-0.03866614,0.0,False,False,False
AFF1,-0.016307218,-0.039579332,0.0,False,False,False
AFF2,0.0018576012,0.00038572936,0.0,False,False,False
AFF3,-0.006699411,-0.029614236,-2.0,False,False,False
AFF4,-0.027898492,-0.051258095,-2.0,False,False,False
AFG1L,-0.0063607893,-0.020515967,0.0,False,False,False
AFG3L2,-0.026183985,-0.04101936,-4.0,False,False,False
AFM,-0.002858851,-0.009239331,2.0,False,False,False
AFMID,-0.006341467,-0.01808987,2.0,False,False,False
AFP,-0.0014114616,-0.0026320238,-2.0,False,False,False
AFTPH,-0.012071076,-0.04639094,-4.0,False,False,False
AGA,-0.009396154,-0.026316164,0.0,False,False,False
AGAP1,0.005087644,-0.007618183,0.0,False,False,False
AGAP2,-0.0048843087,-0.024326721,0.0,False,False,False
AGAP3,-0.011084666,-0.024935901,-2.0,False,False,False
AGAP4,-0.016508808,-0.020675858,-4.0,False,False,False
AGAP9,0.0007435895,-0.046966318,0.0,False,False,False
AGBL1,0.0005439085,0.0020158351,-1.0,False,False,False
AGBL2,0.0020799546,-0.006237754,2.0,False,False,False
AGBL3,-0.0011579546,-0.0065810625,-1.0,False,False,False
AGBL4,-0.022890665,-0.014394645,-4.0,False,False,False
AGBL5,0.0029225228,-0.005267313,2.0,False,False,False
AGER,-0.029291278,-0.04993935,-4.0,False,False,False
AGFG1,-0.0063016545,-0.04472178,-2.0,False,False,False
AGFG2,-0.008219849,-0.04025472,-2.0,False,False,False
